"","date","fav_count","rep_count","ret_count","user_count","tweet_count"
"640",2015-11-21,7,2,54,9,7
"641",2015-11-22,1,0,3,4,4
"642",2015-11-23,0,0,1,2,2
"643",2015-11-24,3,4,43,10,6
"644",2015-11-25,0,0,0,2,1
"645",2015-11-26,2,0,5,35,15
"646",2015-11-27,0,0,0,3,2
"647",2015-11-28,0,0,0,5,3
"648",2015-11-29,0,0,1,2,2
"649",2015-11-30,1,0,2,10,7
"650",2015-12-01,1,0,4,8,2
"651",2015-12-03,0,0,1,3,3
"652",2015-12-04,0,0,0,4,2
"653",2015-12-05,2,1,2,10,3
"654",2015-12-06,7,0,49,28,11
"655",2015-12-07,1,1,22,13,9
"656",2015-12-08,0,0,0,1,1
"657",2015-12-09,0,0,5,5,3
"658",2015-12-10,19,1,119,15,11
"659",2015-12-11,0,0,0,1,1
"660",2015-12-12,0,0,2,3,3
"661",2015-12-13,0,0,0,2,2
"662",2015-12-14,1,0,15,9,5
"663",2015-12-15,0,0,1,2,1
"664",2015-12-16,0,1,2,5,3
"665",2015-12-18,0,1,0,4,4
"666",2015-12-19,4,3,28,14,9
"667",2015-12-20,3,1,40,7,4
"668",2015-12-22,0,1,1,3,1
"669",2015-12-23,1,0,1,5,3
"670",2015-12-24,0,0,0,3,3
"671",2015-12-25,2,0,23,5,5
"672",2015-12-26,13,2,28,18,14
"673",2015-12-27,5,3,59,17,13
"674",2015-12-28,0,0,17,14,7
"675",2015-12-29,0,0,7,6,4
"676",2016-01-01,10,4,46,12,8
"677",2016-01-02,0,0,0,3,1
"678",2016-01-03,8,0,31,5,5
"679",2016-01-04,0,2,1,5,5
"680",2016-01-05,0,0,0,1,1
"681",2016-01-06,1,0,0,2,2
"682",2016-01-07,0,0,8,4,4
"683",2016-01-09,3,0,58,7,6
"684",2016-01-12,1,0,7,5,2
"685",2016-01-13,1,0,3,3,3
"686",2016-01-16,0,0,0,3,1
"687",2016-01-17,0,1,2,1,1
"688",2016-01-18,0,1,8,4,2
"689",2016-01-19,0,0,1,2,1
"690",2016-01-21,0,1,3,6,5
