periode,user,n
1_Emergence,@BagonkBilly_,4
1_Emergence,@CahyoAsih7,4
1_Emergence,@Chaossan__,4
1_Emergence,@Detik02,4
1_Emergence,@EKKAcux,4
1_Emergence,@Evanfikrim,4
1_Emergence,@HAClarisa,4
1_Emergence,@I_S_A_D,4
1_Emergence,@JHFcrew,4
1_Emergence,@JUWITAambarr,4
1_Emergence,@Jopra83,4
1_Emergence,@KalongGedhe,4
1_Emergence,@Metro_TV,4
1_Emergence,@MissWidhiana,4
1_Emergence,@MomonAtLast,4
1_Emergence,@Muhammaddaffa_A,4
1_Emergence,@Pradnand,4
1_Emergence,@Richo_docs,4
1_Emergence,@RizaRidho,4
1_Emergence,@RizalDharmaS,4
1_Emergence,@Shulkhan86,4
1_Emergence,@TravellersID,4
1_Emergence,@VoxDhani13,4
1_Emergence,@YuliNoegroho,4
1_Emergence,@YunetBanget,4
1_Emergence,@ZohanEly,4
1_Emergence,@_MOSHART,4
1_Emergence,@adenugraha_,4
1_Emergence,@aliefyogadh,4
1_Emergence,@ansyahvalee,4
1_Emergence,@arevmania,4
1_Emergence,@argaap,4
1_Emergence,@arissetyawan,4
1_Emergence,@arnoviputty,4
1_Emergence,@arthavandi22,4
1_Emergence,@azhranas,4
1_Emergence,@bayubskt_,4
1_Emergence,@bennybagiarta,4
1_Emergence,@bobsingadikrama,4
1_Emergence,@caandrairawan,4
1_Emergence,@cahyoOntarus,4
